id;age_group;education_level;city;preferred_language;reading_frequency;reading_time_availability;reader_type;reading_habits;favorite_genres;preferred_book_types;preferred_formats;desired_feelings;disliked_genres
141;25-34;Diploma;Depok;indonesian;weekly;15-30 mins;Avid Reader;I read fiction in the evening to unwind after projects.;{indonesian_literature,romance};{fiction};{paperback,ebook};{entertained,relaxed};{science}
142;45-54;Master;Jakarta;english;monthly;1 hour+;Explorer;Reading politics and current affairs keeps me sharp.;{politics_sociology,economics};{non-fiction};{hardcover};{thoughtful,inspired};{poetry_literacy}
143;18-24;High School;Bekasi;indonesian;rarely;<15 mins;Casual Reader;I only read manga and comics during lunch breaks.;{graphic_novels,children_book};{fiction};{paperback};{entertained};{history}
144;25-34;Bachelor;Cimahi;indonesian;weekly;30-60 mins;Explorer;I find joy in feminist literature and modern essays.;{feminism,western_contemporary};{non-fiction};{ebook,hardcover};{inspired,educated};{science}
145;35-44;Master;Surabaya;english;weekly;15-30 mins;Knowledge Seeker;Medical history and self-help are my main interests.;{psychology_selfhelp,history};{non-fiction};{audiobook,ebook};{educated,inspired};{crime_mystery}
146;18-24;Diploma;Semarang;indonesian;daily;<15 mins;Escapist;I read short inspirational books to start my mornings.;{self_discovery,poetry_literacy};{non-fiction};{paperback,ebook};{relaxed,inspired};{colonialism}
147;25-34;Bachelor;Bandung;english;weekly;30-60 mins;Explorer;Reading tech-related business books helps me in my job.;{business,science};{non-fiction};{hardcover,paperback};{educated,thoughtful};{romance}
148;45-54;Bachelor;Yogyakarta;indonesian;monthly;1 hour+;Knowledge Seeker;On weekends I read about Indonesian history and travel.;{history,travel};{non-fiction};{paperback,hardcover};{inspired,educated};{fantasy_scifi}
149;18-24;Bachelor;Depok;english;daily;15-30 mins;Avid Reader;I often read thrillers and crime fiction before bed.;{crime_mystery,dystopian_postapocalyptic};{fiction};{ebook,paperback};{thrilled,entertained};{philosophy}
150;25-34;Master;Surakarta;english;weekly;30-60 mins;Explorer;I love reading and writing speculative fiction.;{fantasy_scifi,western_classics};{fiction};{paperback};{entertained,thoughtful};{psychology_selfhelp}
151;35-44;Bachelor;Bogor;indonesian;weekly;1 hour+;Knowledge Seeker;I enjoy critical essays about society and power.;{critiques_capitalism,politics_sociology};{non-fiction};{ebook};{educated,thoughtful};{children_book}
152;18-24;Diploma;Serang;english;weekly;15-30 mins;Escapist;Short romance novels help me escape daily routines.;{romance,japanese_literature};{fiction};{paperback};{entertained,relaxed};{science}
153;25-34;Diploma;Cimahi;indonesian;weekly;15-30 mins;Casual Reader;I enjoy parenting books and Indonesian stories.;{family,indonesian_literature};{non-fiction};{paperback,ebook};{educated,thoughtful};{western_classic_lit}
154;35-44;Doctorate;Yogyakarta;english;weekly;1 hour+;Knowledge Seeker;I research with the help of philosophy and sociology books.;{philosophy,politics_sociology};{non-fiction};{ebook,hardcover};{thoughtful,inspired};{crime_mystery}
155;45-54;Master;Jakarta;english;monthly;1 hour+;Knowledge Seeker;I stay updated through legal and feminist writings.;{feminism,history};{non-fiction};{hardcover};{educated,thoughtful};{children_book}
156;18-24;High School;Bandung;english;rarely;15-30 mins;Casual Reader;When I do read I prefer comics or graphic novels.;{graphic_novels,children_book};{fiction};{paperback};{entertained};{philosophy}
157;18-24;Bachelor;Bandung;indonesian;daily;<15 mins;Casual Reader;I usually read short novels before class to get energized for the day.;{indonesian_literature,romance};{fiction};{paperback,ebook}; {entertained,relaxed};{science}
158;25-34;Bachelor;Jakarta;english;weekly;30-60 mins;Explorer;I enjoy exploring different perspectives, so I switch between fiction and essays.;{arts_architecture,philosophy};{fiction,non-fiction};{hardcover,paperback}; {thoughtful,inspired};{}
159;25-34;Bachelor;Semarang;indonesian;weekly;15-30 mins;Knowledge Seeker;Books are my way to keep learning, especially educational ones.;{education,natural_science};{non-fiction};{paperback,ebook}; {educated,thoughtful};{romance}
160;35-44;Master;Bogor;english;monthly;30-60 mins;Casual Reader;Business books are my go-to during downtime between meetings.;{business,self_help};{non-fiction};{ebook}; {inspired,educated};{poetry_literacy}
161;18-24;Diploma;Cimahi;indonesian;daily;15-30 mins;Escapist;Reading fantasy every evening helps me unwind.;{fantasy_scifi,japanese_literature};{fiction};{paperback,ebook}; {thrilled,relaxed};{}
162;25-34;Bachelor;Yogyakarta;english;weekly;1 hour+;Knowledge Seeker;I enjoy books that mix science with real-world impact.;{science,climate_change};{non-fiction};{hardcover}; {educated,thoughtful};{romance}
163;35-44;Bachelor;Jakarta;english;daily;1 hour+;Avid Reader;I read and write for a living, so literature is both work and joy.;{world_literature,western_classics};{fiction};{hardcover}; {thoughtful,inspired};{natural_science}
164;18-24;Bachelor;Bandung;indonesian;weekly;15-30 mins;Escapist;Fiction helps me disconnect from daily stress.;{fantasy_scifi,romance};{fiction};{ebook,paperback}; {entertained,relaxed};{psychology_selfhelp}
165;25-34;Bachelor;Tangerang;english;weekly;30-60 mins;Casual Reader;I read mostly on weekends, especially social commentary.;{politics_sociology,colonialism};{non-fiction};{hardcover}; {educated,thoughtful};{children_book}
166;18-24;High School;Depok;indonesian;daily;<15 mins;Casual Reader;Poetry books keep me grounded before sleeping.;{poetry_literacy,feminism};{fiction};{paperback}; {thoughtful,relaxed};{}
167;25-34;Diploma;Bogor;indonesian;monthly;1 hour+;Explorer;My time with books is my escape from the café crowd.;{self_discovery,philosophy};{fiction,non-fiction};{paperback}; {inspired,relaxed};{science}
168;18-24;Bachelor;Magelang;english;weekly;15-30 mins;Escapist;I love Japanese literature;;;;;
169;25-34;Bachelor;Jakarta;indonesian;weekly;30-60 mins;Casual Reader;I pick self-help books to improve my people skills.;{psychology_selfhelp,self_help};{non-fiction};{paperback,ebook}; {inspired,educated};{dystopian_postapocalyptic}
170;35-44;Master;Bandung;english;monthly;1 hour+;Explorer;Design books inspire me to think differently about the world.;{arts_architecture,philosophy};{non-fiction};{hardcover}; {inspired,educated};{romance}
171;25-34;Bachelor;Yogyakarta;english;rarely;30-60 mins;Knowledge Seeker;I occasionally dive into sci-fi when I want to be inspired.;{science,fantasy_scifi};{fiction};{paperback}; {thrilled,educated};{memoirs_biography}
172;18-24;High School;Bekasi;indonesian;weekly;30-60 mins;Casual Reader;Graphic novels are my break from online lectures.;{graphic_novels,western_contemporary};{fiction};{paperback}; {entertained,relaxed};{education}
173;35-44;Master;Serang;english;monthly;1 hour+;Knowledge Seeker;Books on language and culture are my passion.;{world_literature,western_classics};{non-fiction};{paperback}; {educated,thoughtful};{children_book}
174;25-34;Master;Semarang;english;weekly;1 hour+;Knowledge Seeker;My love for natural science keeps me reading late.;{natural_science,philosophy};{non-fiction};{hardcover}; {educated,thoughtful};{romance}
175;18-24;Bachelor;Sukabumi;indonesian;daily;<15 mins;Avid Reader;My reading ritual is manga and short fiction.;{japanese_literature,graphic_novels};{fiction};{paperback}; {entertained,thrilled};{history}
176;25-34;Master;Jakarta;english;weekly;30-60 mins;Casual Reader;Essays on feminism and social change motivate me.;{feminism,politics_sociology};{non-fiction};{ebook}; {inspired,thoughtful};{poetry_literacy}
177;18-24;Diploma;Bandung;indonesian;weekly;<15 mins;Escapist;Short zines and magazines keep me entertained between classes.;{magazine_zine,children_book};{fiction};{paperback}; {entertained};{natural_science}
178;25-34;Bachelor;Yogyakarta;english;weekly;15-30 mins;Explorer;I like to rotate between biography and historical fiction.;{memoirs_biography,historical_fiction};{fiction,non-fiction};{ebook,paperback}; {thoughtful,educated};{dystopian_postapocalyptic}
179;18-24;Bachelor;Cimahi;indonesian;daily;15-30 mins;Avid Reader;Fantasy novels are my comfort zone on bad days.;{fantasy_scifi,poetry_literacy};{fiction};{ebook,paperback}; {thrilled,relaxed};{science}
180;25-34;Bachelor;Depok;english;weekly;30-60 mins;Casual Reader;Sometimes I binge-read economics on Sunday mornings.;{critiques_capitalism,business};{non-fiction};{hardcover}; {educated,inspired};{romance}
181;35-44;PhD;Bandung;indonesian;weekly;1 hour+;Knowledge Seeker;I read philosophy and post-colonial literature after lectures.;{philosophy,colonialism};{non-fiction};{paperback}; {thoughtful,educated};{children_book}
182;25-34;Bachelor;Bandung;english;daily;30-60 mins;Avid Reader;Every evening I disconnect from screens and dive into fiction or philosophy.;{philosophy,fantasy_scifi};{fiction};{paperback}; {thoughtful,relaxed};{colonialism}
183;35-44;Bachelor;Semarang;english;weekly;1 hour+;Knowledge Seeker;I analyze current events through political theory and essays.;{politics_sociology,history};{non-fiction};{hardcover}; {educated,inspired};{children_book}
184;18-24;High School;Yogyakarta;indonesian;daily;<15 mins;Casual Reader;Poetry and short stories help me stay inspired before school.;{poetry_literacy,education};{fiction};{ebook}; {thoughtful,relaxed};{science}
185;25-34;Bachelor;Bogor;indonesian;monthly;15-30 mins;Explorer;My reading habits are sporadic, but I enjoy books that explore identity.;{feminism,world_literature};{fiction,non-fiction};{paperback}; {thoughtful,entertained};{memoirs_biography}
186;18-24;Diploma;Tangerang;english;weekly;15-30 mins;Escapist;Fantasy books make me forget reality, especially before bed.;{fantasy_scifi,japanese_literature};{fiction};{paperback}; {thrilled,entertained};{romance}
187;25-34;Master;Jakarta;english;weekly;30-60 mins;Knowledge Seeker;I read self-help and business books to grow in my career.;{self_help,business};{non-fiction};{ebook,paperback}; {educated,inspired};{poetry_literacy}
188;35-44;Bachelor;Depok;indonesian;weekly;1 hour+;Explorer;Books about climate change and human rights keep me informed.;{climate_change,colonialism};{non-fiction};{hardcover}; {educated,thoughtful};{children_book}
189;25-34;Diploma;Yogyakarta;english;weekly;30-60 mins;Explorer;Graphic novels and art books help me stay creative.;{graphic_novels,arts_architecture};{fiction,non-fiction};{hardcover}; {entertained,inspired};{philosophy}
190;18-24;High School;Bandung;indonesian;daily;<15 mins;Casual Reader;I carry a poetry book in my backpack for quick reads.;{poetry_literacy,romance};{fiction};{paperback}; {thoughtful,relaxed};{science}
191;25-34;Master;Surakarta;english;weekly;1 hour+;Knowledge Seeker;I analyze theories of capitalism and identity in books.;{critiques_capitalism,feminism};{non-fiction};{paperback}; {educated,thoughtful};{children_book}
192;18-24;Bachelor;Bekasi;indonesian;weekly;15-30 mins;Escapist;Romance novels are my weekend guilty pleasure.;{romance,family};{fiction};{ebook}; {entertained,relaxed};{natural_science}
193;25-34;Bachelor;Serang;indonesian;monthly;30-60 mins;Casual Reader;I mostly read historical fiction during holidays.;{historical_fiction,education};{fiction};{paperback}; {thoughtful,educated};{self_help}
194;35-44;High School;Bandung;english;rarely;15-30 mins;Casual Reader;I only read when I travel, mostly food or travel literature.;{travel,memoirs_biography};{non-fiction};{ebook}; {relaxed,entertained};{colonialism}
195;18-24;Diploma;Yogyakarta;indonesian;daily;<15 mins;Avid Reader;I follow a ritual of reading a page of philosophy daily.;{philosophy,western_classics};{non-fiction};{hardcover}; {thoughtful,inspired};{graphic_novels}
196;25-34;Bachelor;Jakarta;english;weekly;30-60 mins;Casual Reader;Books on systems thinking and economics spark my curiosity.;{science,critiques_capitalism};{non-fiction};{ebook,paperback}; {educated,thoughtful};{romance}
197;18-24;High School;Cimahi;indonesian;weekly;<15 mins;Casual Reader;Reading about pets always makes me smile after class.;{pets,children_book};{fiction};{paperback}; {relaxed,entertained};{science}
198;35-44;Master;Tangerang;indonesian;monthly;30-60 mins;Knowledge Seeker;I read business psychology to understand team behavior better.;{psychology_selfhelp,business};{non-fiction};{hardcover}; {educated,inspired};{fantasy_scifi}
199;25-34;Bachelor;Yogyakarta;english;weekly;30-60 mins;Explorer;Zines and graphic novels are my weekend comfort reads.;{magazine_zine,graphic_novels};{fiction};{paperback}; {entertained,relaxed};{philosophy}
200;18-24;Bachelor;Depok;english;daily;15-30 mins;Avid Reader;Late-night reading with a warm drink is my perfect routine.;{western_contemporary,japanese_literature};{fiction};{ebook,paperback}; {thoughtful,relaxed};{science}
201;25-34;Bachelor;Jakarta;indonesian;weekly;1 hour+;Avid Reader;I alternate between poetry and feminist theory for inspiration.;{feminism,poetry_literacy};{non-fiction};{paperback}; {inspired,thoughtful};{colonialism}
202;18-24;Bachelor;Bogor;indonesian;weekly;<15 mins;Casual Reader;Short reads between lectures help me stay sharp.;{education,children_book};{fiction};{ebook}; {educated,entertained};{graphic_novels}
203;25-34;Bachelor;Jakarta;english;weekly;30-60 mins;Knowledge Seeker;Entrepreneurship books are like mentorship in print.;{business,self_help};{non-fiction};{ebook}; {inspired,educated};{romance}
204;35-44;PhD;Bandung;english;monthly;1 hour+;Knowledge Seeker;Reading Marxist literature is my weekend reflection ritual.;{critiques_capitalism,colonialism};{non-fiction};{hardcover}; {educated,thoughtful};{children_book}
205;18-24;High School;Bantul;indonesian;daily;<15 mins;Escapist;Manga and comics help me relax after school.;{graphic_novels,japanese_literature};{fiction};{paperback}; {entertained,relaxed};{natural_science}
206;25-34;Diploma;Magelang;english;weekly;30-60 mins;Explorer;Books on climate and humanity guide my life choices.;{climate_change};{non-fiction};{ebook}; {thoughtful,inspired};{romance}
